epoch cg_usage g2_ticks
1789610546 44051403023 38795
1789610547 44052118789 38797
1789610548 44053470540 38798
1789610549 44054799043 38800
1789610550 44055531884 38802
1789610551 44056041909 38803
1789610552 44056896021 38805
1789610553 44058264549 38806
1789610554 44058938390 38808
1789610555 44059466006 38809
1789610556 44060019707 38811
1789610557 44060637452 38812
1789610558 44061492173 38814
1789610559 44062867205 38816
1789610560 44063497662 38818
1789610561 44064295252 38819
1789610562 44065577483 38821
1789610563 44067483875 38823
1789610564 44069303824 38825
1789610565 44070862171 38827
1789610566 44072032769 38829
1789610567 44072847574 38830
1789610568 44073942356 38832
1789610569 44075552536 38833
1789610570 44076926695 38835
1789610571 44078065695 38836
1789610572 44079345894 38838
1789610573 44080595080 38840
1789610574 44081639717 38841
1789610575 44082475481 38843
1789610576 44083240670 38845
1789610577 44084215683 38847
1789610578 44085741444 38849
1789610579 44087312372 38850
1789610580 44088230057 38852
1789610581 44089149459 38853
1789610582 44090557100 38856
1789610583 44091670314 38858
1789610584 44092654999 38859
1789610585 44093263594 38861
1789610586 44093835051 38862
1789610587 44094533834 38864
1789610588 44095662141 38866
1789610589 44097183639 38868
1789610590 44098196347 38869
1789610591 44099076620 38871
1789610592 44100405524 38873
1789610593 44102089207 38875
1789610594 44103450533 38876
1789610595 44104764520 38878
1789610596 44106070264 38880
1789610597 44107556242 38882
1789610598 44109251688 38884
1789610599 44110517174 38886
1789610600 44111274216 38886
1789610601 44111831957 38888
1789610602 44112694047 38890
1789610603 44113648362 38891
1789610604 44114167454 38893
1789610605 44114549841 38894
1789610606 44114923831 38896
1789610607 44115300574 38897
1789610608 44116355969 38900
1789610609 44117557419 38901
1789610610 44118167920 38902
1789610611 44118555097 38904
1789610612 44119642904 38906
1789610613 44120750294 38908
1789610614 44121569479 38910
1789610615 44121999435 38911
1789610616 44122319146 38912
1789610617 44122969251 38914
1789610618 44124149565 38915
1789610619 44125430821 38917
1789610620 44126113109 38918
1789610621 44127185126 38920
1789610622 44128681768 38922
1789610623 44130680556 38924
1789610624 44132421614 38926
1789610625 44134066200 38928
1789610626 44135255406 38930
1789610627 44136595718 38931
1789610628 44138019890 38933
